Suma de Value,Etiquetas de columna,,,,,,,,,,,,,,,
Etiquetas de fila,AVOCADOS - ACRES BEARING,"AVOCADOS - PRODUCTION, MEASURED IN TONS",Total general,,,,,,,,,,,,,
2008,72830,115950,188780,,,,,,,,,,,,,
2009,66270,298520,364790,,,,,,,,,,,,,
2010,59930,174330,234260,,,,,,,,,,,,,
2011,59950,262950,322900,,,,,,,,,,,,,
2012,0,0,0,,,,,,,,,,,,,
2013,61450,182920,244370,,,,,,,,,,,,,
2014,59250,172940,232190,,,,,,,,,,,,,
2015,59650,228990,288640,,,,,,,,,,,,,
2016,57700,138050,195750,,,,,,,,,,,,,
2017,58140,187680,245820,,,,,,,,,,,,,
Total general,555170,1762330,2317500,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,0.919154669,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.832627225,
,,,,,,,,,,,,,,año,pdn_ton,
,,,,,72830,115950,,,,115950,,,72830,2008,115950,
,,,,,66270,298520,,,,298520,,,66270,2009,298520,
,,,,,59930,174330,,,,174330,,,59930,2010,174330,
,,,,,59950,262950,,,72830,262950,222252.5736,,59950,2011,262950,
,,,,,0,0,,,66270,0,222252.5736,222252.5736,64408,2012,222253,222935
,,,,,,,,,59930,182920,,,61450,2013,182920,
,,,,,,,,,59950,172940,,,59250,2014,172940,
,,,,,,,,,0,228990,,,59650,2015,228990,
,,,,,,,,,61450,138050,,,57700,2016,138050,
,,,,,,,,,59250,187680,,,58140,2017,187680,
,,,,,,,,,59650,,,,,,,
,,,,,,,,,57700,,,,,,,
,,,,,61450,182920,,,58140,,,,,,,
,,,,,59250,172940,,,,,,,"52,026",52026,,
,,,,,59650,228990,,,,,,,,11781,,
,,,,,57700,138050,,,,,,,,564,,
,,,,,58140,187680,,,,,,,,37,,
,,,,,,,,,,,,,,64408,,
