"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","AVOCADOS - ACRES BEARING  -  <b>VALUE</b>","AVOCADOS - ACRES BEARING  -  <b>CV (%)</b>","AVOCADOS - PRODUCTION, MEASURED IN $  -  <b>VALUE</b>","AVOCADOS - PRODUCTION, MEASURED IN $  -  <b>CV (%)</b>","AVOCADOS - PRODUCTION, MEASURED IN TONS  -  <b>VALUE</b>","AVOCADOS - PRODUCTION, MEASURED IN TONS  -  <b>CV (%)</b>","AVOCADOS - YIELD, MEASURED IN TONS / ACRE  -  <b>VALUE</b>","AVOCADOS - YIELD, MEASURED IN TONS / ACRE  -  <b>CV (%)</b>"
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","TOTAL","NOT SPECIFIED","58,140","","392,012,000","","187,680","","3.23",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","TOTAL","NOT SPECIFIED","57,700","","372,254,000","","138,050","","2.39",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","TOTAL","NOT SPECIFIED","59,650","","433,870,000","","228,990","","3.84",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","TOTAL","NOT SPECIFIED","59,250","","326,378,000","","172,940","","2.92",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","TOTAL","NOT SPECIFIED","61,450","","361,386,000","","182,920","","2.98",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","TOTAL","NOT SPECIFIED","59,950","","406,047,000","","262,950","","4.39",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","TOTAL","NOT SPECIFIED","59,930","","479,068,000","","174,330","","2.91",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","TOTAL","NOT SPECIFIED","66,270","","429,586,000","","298,520","","4.5",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","TOTAL","NOT SPECIFIED","72,830","","214,546,000","","115,950","","1.59",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","TOTAL","NOT SPECIFIED","73,350","","341,239,000","","193,080","","2.63",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","TOTAL","NOT SPECIFIED","","","396,127,000","","","","",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","TOTAL","NOT SPECIFIED","","","382,188,000","","","","",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","TOTAL","NOT SPECIFIED","","","373,890,000","","","","",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","TOTAL","NOT SPECIFIED","","","331,397,000","","","","",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","TOTAL","NOT SPECIFIED","","","356,410,000","","","","",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","TOTAL","NOT SPECIFIED","","","343,730,000","","","","",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","TOTAL","NOT SPECIFIED","","","277,754,000","","","","",""
